Source page: http://www.caroftheyear.org/voting-grid/2013_1/coty,
country_image,country_image/_alt,name_link,name_link/_text,name_link/_title,country_value,volkswagen_number,subarubrz_number,volvov40_number,fordbmax_number,mercedesa_number,renaultclio_number,peugeot208_number,hyundaii30_number
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=68","Hakan Matson","Hakan  Matson","","9","2","6","2","1","3","1","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=103","Tommy Wahlström","Tommy Wahlström","","9","3","6","4","0","2","1","0"
"http://www.caroftheyear.org/imagenes/bandera/440.png","Switzerland","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=72","Urs Bärtschi","Urs  Bärtschi","Switzerland","8","2","3","0","3","2","5","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=71","Peter Ruch","Peter  Ruch","","8","5","4","1","1","0","3","3"
"http://www.caroftheyear.org/imagenes/bandera/391.png","Turkey","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=73","Ufuk Sandik","Ufuk  Sandik","Turkey","6","0","4","1","2","5","3","4"
"http://www.caroftheyear.org/imagenes/bandera/397.png","United Kingdom","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=39","Steve Cropley","Steve  Cropley","United Kingdom","7","9","2","2","1","1","2","1"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=34","Andrew English","Andrew  English","","8","4","5","1","5","0","0","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=94","Andrew Frankel","Andrew Frankel","","6","5","2","4","2","3","1","2"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=36","Paul Horrell","Paul  Horrell","","10","4","4","2","2","2","1","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=37","Phil McNamara","Phil  McNamara","","8","7","5","2","3","0","0","0"
"","","http://www.caroftheyear.org/voting-grid-texto.php?height=450&width=550&anyo=2013&idjuez=35","John Simister","John  Simister","","7","10","2","3","0","0","1","2"
